FR Category,Requirement ID,Requirement Name,Requirement Description,Compliance Status (Met/Not Met/Unsure),Evidence from TVCS SAT Document,TVCS Implementation Status
FR2 - Use Control,SR 2.1,Authorization enforcement,The control system shall provide the capability to enforce assigned privileges of authenticated users,Met,"GPO restrictions on HMI operator accounts (NET-2A-TC209), service account permissions tested (NET-2A-TC208)",Complete
FR2 - Use Control,SR 2.1 RE(1),Authorization enforcement for all users,"Enforce authorization for all users (human, software process, device) to all protected functions",Met,"GPO applied to operator accounts, service accounts have defined permissions",Complete
FR2 - Use Control,SR 2.1 RE(2),Permission mapping to roles,Map permissions to roles,Unsure,Service accounts defined but role-based access control (RBAC) not explicitly documented,Partial
FR2 - Use Control,SR 2.2,Wireless use control,"The control system shall provide the capability to authorize, monitor and restrict use of wireless connections",Unsure,Not explicitly addressed in test specification,Partial
FR2 - Use Control,SR 2.3,Use control for portable and mobile devices,"The control system shall provide the capability to authorize, monitor and control use of portable and mobile devices",Unsure,Not explicitly addressed in test specification,Partial
FR2 - Use Control,SR 2.4,Mobile code,The control system shall provide the capability to prevent the execution of unauthorized mobile code,Unsure,Not explicitly addressed in test specification,Partial
FR2 - Use Control,SR 2.4 RE(1),Mobile code integrity check,Perform integrity check on mobile code,Not Met,No evidence of mobile code integrity verification,Not Met
FR2 - Use Control,SR 2.5,Session lock,The control system shall provide the capability to prevent further access after a period of inactivity,Unsure,Not explicitly tested in SAT specification,Partial
FR2 - Use Control,SR 2.6,Remote session termination,The control system shall provide the capability to terminate a remote session,Unsure,Not explicitly addressed in test specification,Partial
FR2 - Use Control,SR 2.7,Concurrent session control,The control system shall provide the capability to limit the number of concurrent sessions,Unsure,Not explicitly addressed in test specification,Partial
FR2 - Use Control,SR 2.8,Auditable events,The control system shall provide the capability to generate audit records,Met,"LibreNMS monitoring with alert generation, audit logging mentioned for security events",Complete
FR2 - Use Control,SR 2.8 RE(1),Centrally managed system-wide audit trail,Provide capability for centrally managed audit trail,Met,"LibreNMS centralized monitoring, event logs synchronized via NTP (NET-2A-TC301)",Complete
FR2 - Use Control,SR 2.9,Audit storage capacity,The control system shall provide the capability to allocate audit record storage capacity,Unsure,Audit logging mentioned but storage capacity allocation not documented,Partial
FR2 - Use Control,SR 2.10,Response to audit processing failures,The control system shall provide the capability to support a defined response to audit processing failures,Unsure,Not explicitly addressed in test specification,Partial
FR2 - Use Control,SR 2.11,Timestamps,The control system shall provide the capability to generate timestamps for use in audit records,Met,NTP synchronization tested (NET-2A-TC301) for accurate timestamps,Complete
FR2 - Use Control,SR 2.11 RE(1),Time synchronization,Synchronize time with authoritative time source,Met,NTP authentication and synchronization with AT NTP server (NET-2A-TC301),Complete
FR2 - Use Control,SR 2.12,Non-repudiation,The control system shall provide the capability to determine whether a given individual took a particular action,Unsure,Audit logging present but digital signatures/non-repudiation mechanisms not documented,Partial
FR2 - Use Control,SR 2.13,Use of physical diagnostic and test interfaces,The control system shall provide the capability to authorize and control use of physical diagnostic and test interfaces,Unsure,Physical access to devices tested but authorization controls for physical interfaces not documented,Partial
